lea_name,lea_id,state,year,homeschool_students
Alma School District,502250,ARKANSAS,2017-18,142.0
Mulberry/Pleasant View Bi-County Schools,510290,ARKANSAS,2021-22,71.0
Mulberry School District,510290,ARKANSAS,2020-21,73.0
Mulberry School District,510290,ARKANSAS,2019-20,54.0
Mulberry School District,510290,ARKANSAS,2018-19,37.0
Mulberry School District,510290,ARKANSAS,2017-18,50.0
Mt. Vernon/Enola School District,510080,ARKANSAS,2022-23,62.0
Mt. Vernon/Enola School District,510080,ARKANSAS,2021-22,49.0
Mt. Vernon/Enola School Dist.,510080,ARKANSAS,2020-21,54.0
Mulberry/Pleasant View Bi-County Schools,510290,ARKANSAS,2022-23,61.0
Mt. Vernon/Enola School Dist.,510080,ARKANSAS,2019-20,30.0
Mt. Vernon/Enola School Dist.,510080,ARKANSAS,2017-18,36.0
Mountainburg School District,510260,ARKANSAS,2022-23,80.0
Mountainburg School District,510260,ARKANSAS,2021-22,73.0
Mountainburg School District,510260,ARKANSAS,2020-21,85.0
Mountainburg School District,510260,ARKANSAS,2019-20,56.0
Mountainburg School District,510260,ARKANSAS,2018-19,50.0
Mountainburg School District,510260,ARKANSAS,2017-18,51.0
Mountain View School District,510200,ARKANSAS,2022-23,323.0
Mt. Vernon/Enola School Dist.,510080,ARKANSAS,2018-19,30.0
Mountain View School District,510200,ARKANSAS,2021-22,334.0
N. Little Rock School District,510680,ARKANSAS,2017-18,221.0
N. Little Rock School District,510680,ARKANSAS,2019-20,236.0
Nettleton School District,510440,ARKANSAS,2021-22,173.0
Nettleton School District,510440,ARKANSAS,2020-21,169.0
Nettleton School District,510440,ARKANSAS,2019-20,129.0
Nettleton School District,510440,ARKANSAS,2018-19,123.0
Nettleton School District,510440,ARKANSAS,2017-18,121.0
Nemo Vista School District,510410,ARKANSAS,2022-23,43.0
Nemo Vista School District,510410,ARKANSAS,2021-22,35.0
Nemo Vista School District,510410,ARKANSAS,2020-21,35.0
N. Little Rock School District,510680,ARKANSAS,2018-19,270.0
Nemo Vista School District,510410,ARKANSAS,2019-20,22.0
Nemo Vista School District,510410,ARKANSAS,2017-18,9.0
Nashville School District,510380,ARKANSAS,2022-23,89.0
Nashville School District,510380,ARKANSAS,2021-22,91.0
Nashville School District,510380,ARKANSAS,2020-21,106.0
Nashville School District,510380,ARKANSAS,2019-20,66.0
Nashville School District,510380,ARKANSAS,2018-19,63.0
Nashville School District,510380,ARKANSAS,2017-18,53.0
N. Little Rock School District,510680,ARKANSAS,2020-21,341.0
Nemo Vista School District,510410,ARKANSAS,2018-19,22.0
Nettleton School District,510440,ARKANSAS,2022-23,157.0
Mountain View School District,510200,ARKANSAS,2020-21,306.0
Mountain View School District,510200,ARKANSAS,2018-19,208.0
Monticello School District,509840,ARKANSAS,2019-20,43.0
Monticello School District,509840,ARKANSAS,2018-19,35.0
Monticello School District,509840,ARKANSAS,2017-18,43.0
Mineral Springs School District,509780,ARKANSAS,2022-23,14.0
Mineral Springs School District,509780,ARKANSAS,2021-22,16.0
Mineral Springs School Dist.,509780,ARKANSAS,2020-21,17.0
Mineral Springs School Dist.,509780,ARKANSAS,2019-20,12.0
Mineral Springs School Dist.,509780,ARKANSAS,2018-19,5.0
Monticello School District,509840,ARKANSAS,2020-21,95.0
Mineral Springs School Dist.,509780,ARKANSAS,2017-18,10.0
Midland School District,500020,ARKANSAS,2021-22,84.0
Midland School District,500020,ARKANSAS,2020-21,76.0
Midland School District,500020,ARKANSAS,2019-20,64.0
Midland School District,500020,ARKANSAS,2018-19,59.0
Midland School District,500020,ARKANSAS,2017-18,45.0
Mena School District,509750,ARKANSAS,2022-23,183.0
Mena School District,509750,ARKANSAS,2021-22,171.0
Mena School District,509750,ARKANSAS,2020-21,217.0
Midland School District,500020,ARKANSAS,2022-23,94.0
Mountain View School District,510200,ARKANSAS,2019-20,220.0
Monticello School District,509840,ARKANSAS,2021-22,75.0
Mount Ida School District,509990,ARKANSAS,2017-18,43.0
Mountain View School District,510200,ARKANSAS,2017-18,220.0
Mountain Pine School District,510170,ARKANSAS,2022-23,59.0
Mountain Pine School District,510170,ARKANSAS,2021-22,49.0
Mountain Pine School District,510170,ARKANSAS,2020-21,37.0
Mountain Pine School District,510170,ARKANSAS,2019-20,43.0
Mountain Pine School District,510170,ARKANSAS,2018-19,43.0
Mountain Pine School District,510170,ARKANSAS,2017-18,27.0
Mountain Home School District,500043,ARKANSAS,2022-23,321.0
Monticello School District,509840,ARKANSAS,2022-23,73.0
Mountain Home School District,500043,ARKANSAS,2021-22,284.0
Mountain Home School District,500043,ARKANSAS,2019-20,229.0
Mountain Home School District,500043,ARKANSAS,2018-19,246.0
Mountain Home School District,500043,ARKANSAS,2017-18,214.0
Mount Ida School District,509990,ARKANSAS,2022-23,55.0
Mount Ida School District,509990,ARKANSAS,2021-22,53.0
Mount Ida School District,509990,ARKANSAS,2020-21,53.0
Mount Ida School District,509990,ARKANSAS,2019-20,37.0
Mount Ida School District,509990,ARKANSAS,2018-19,41.0
Mountain Home School District,500043,ARKANSAS,2020-21,283.0
Mena School District,509750,ARKANSAS,2019-20,149.0
Nevada School District,500030,ARKANSAS,2017-18,31.0
Nevada School District,500030,ARKANSAS,2019-20,47.0
Pangburn School District,511070,ARKANSAS,2019-20,49.0
Pangburn School District,511070,ARKANSAS,2018-19,39.0
Pangburn School District,511070,ARKANSAS,2017-18,40.0
Palestine-Wheatley Sch. Dist.,500051,ARKANSAS,2022-23,13.0
Palestine-Wheatley Sch. Dist.,500051,ARKANSAS,2021-22,19.0
Palestine-Wheatley Sch. Dist.,500051,ARKANSAS,2020-21,17.0
Palestine-Wheatley Sch. Dist.,500051,ARKANSAS,2019-20,15.0
Palestine-Wheatley Sch. Dist.,500051,ARKANSAS,2018-19,20.0
Pangburn School District,511070,ARKANSAS,2020-21,61.0
Palestine-Wheatley Sch. Dist.,500051,ARKANSAS,2017-18,15.0
Ozark School District,511010,ARKANSAS,2021-22,145.0
Ozark School District,511010,ARKANSAS,2020-21,143.0
Ozark School District,511010,ARKANSAS,2019-20,56.0
Ozark School District,511010,ARKANSAS,2018-19,105.0
Ozark School District,511010,ARKANSAS,2017-18,95.0
Ozark Mountain School District,500076,ARKANSAS,2022-23,90.0
Ozark Mountain School District,500076,ARKANSAS,2021-22,118.0
Ozark Mountain School District,500076,ARKANSAS,2020-21,79.0
Ozark School District,511010,ARKANSAS,2022-23,135.0
Ozark Mountain School District,500076,ARKANSAS,2019-20,57.0
Pangburn School District,511070,ARKANSAS,2021-22,94.0
Paragould School District,500017,ARKANSAS,2017-18,165.0
Pea Ridge School District,503030,ARKANSAS,2017-18,134.0
Parkers Chapel School Dist.,511220,ARKANSAS,2022-23,26.0
Parkers Chapel School Dist.,511220,ARKANSAS,2021-22,25.0
Parkers Chapel School Dist.,511220,ARKANSAS,2020-21,26.0
Parkers Chapel School Dist.,511220,ARKANSAS,2019-20,14.0
Parkers Chapel School Dist.,511220,ARKANSAS,2018-19,8.0
Parkers Chapel School Dist.,511220,ARKANSAS,2017-18,7.0
Paris School District,511130,ARKANSAS,2022-23,66.0
Pangburn School District,511070,ARKANSAS,2022-23,78.0
Paris School District,511130,ARKANSAS,2021-22,70.0
Paris School District,511130,ARKANSAS,2019-20,35.0
Paris School District,511130,ARKANSAS,2018-19,46.0
Paris School District,511130,ARKANSAS,2017-18,43.0
Paragould School District,500017,ARKANSAS,2022-23,245.0
Paragould School District,500017,ARKANSAS,2021-22,279.0
Paragould School District,500017,ARKANSAS,2020-21,260.0
Paragould School District,500017,ARKANSAS,2019-20,184.0
Paragould School District,500017,ARKANSAS,2018-19,198.0
Paris School District,511130,ARKANSAS,2020-21,60.0
Nevada School District,500030,ARKANSAS,2018-19,26.0
Ozark Mountain School District,500076,ARKANSAS,2018-19,58.0
Ouachita School District,510980,ARKANSAS,2022-23,20.0
Omaha School District,510920,ARKANSAS,2017-18,39.0
North Little Rock School District,510680,ARKANSAS,2022-23,250.0
North Little Rock School District,510680,ARKANSAS,2021-22,288.0
Norfork School District,510560,ARKANSAS,2022-23,43.0
Norfork School District,510560,ARKANSAS,2021-22,52.0
Norfork School District,510560,ARKANSAS,2020-21,20.0
Norfork School District,510560,ARKANSAS,2019-20,12.0
Norfork School District,510560,ARKANSAS,2018-19,16.0
Omaha School District,510920,ARKANSAS,2018-19,46.0
Norfork School District,510560,ARKANSAS,2017-18,24.0
Newport School District,500023,ARKANSAS,2021-22,59.0
Newport School District,500023,ARKANSAS,2020-21,61.0
Newport School District,500023,ARKANSAS,2019-20,28.0
Newport School District,500023,ARKANSAS,2018-19,39.0
Newport School District,500023,ARKANSAS,2017-18,27.0
Nevada School District,500030,ARKANSAS,2022-23,40.0
Nevada School District,500030,ARKANSAS,2021-22,44.0
Nevada School District,500030,ARKANSAS,2020-21,46.0
Newport School District,500023,ARKANSAS,2022-23,42.0
Ozark Mountain School District,500076,ARKANSAS,2017-18,63.0
Omaha School District,510920,ARKANSAS,2019-20,45.0
Omaha School District,510920,ARKANSAS,2021-22,61.0
Ouachita School District,510980,ARKANSAS,2021-22,24.0
Ouachita School District,510980,ARKANSAS,2020-21,23.0
Ouachita School District,510980,ARKANSAS,2019-20,19.0
Ouachita School District,510980,ARKANSAS,2018-19,14.0
Ouachita School District,510980,ARKANSAS,2017-18,20.0
Ouachita River School District,500073,ARKANSAS,2022-23,39.0
Ouachita River School District,500073,ARKANSAS,2021-22,37.0
Ouachita River School District,500073,ARKANSAS,2020-21,31.0
Omaha School District,510920,ARKANSAS,2020-21,53.0
Ouachita River School District,500073,ARKANSAS,2019-20,26.0
Ouachita River School District,500073,ARKANSAS,2017-18,39.0
Osceola School District,510950,ARKANSAS,2022-23,21.0
Osceola School District,510950,ARKANSAS,2021-22,13.0
